categoryName,count
12.2 NTO: National tourism office,5
14.6 Gastro tourism,5
1.3 Hostel / Motel,5
3.2 Authorized travel agency,4
17.2 Payment service provider,4
4.1 Search engine for travel / Aggregator,4
5.5 Helicopter services,4
15.1 Print media,4
1.5 Resort hotel,3
3. Travel  agencies,3
14.7 Religious tourism,3
10. Museums & parks,3
6. Motorhomes & caravans,3
2.1 Inbound tour operator,3
17.1 Insurance company,3
7. Mobile homes & glampings,3
"17.3 Banking, investments",3
15.3 Radio & TV,3
13.2 Mobile app,3
10.5 Zoo,3
13.4 VR & AR,3
10.1 Museum,3
1.6 Management company,3
1.4 Boarding house,3
10.3 Cultural heritage site,3
5.6 Other transport services,3
14.5 Industrial tourism,3
1.1 Hotel / Hotel chain / Inn,3
3.3 Independent travel agency,3
2.6 Specialized tour operator,3
1.2 Apartments / Residential hotel,3
12.4 Industry association,2
14.4 Adventure tourism,2
2.3 Receptive / ground operator,2
10.7 National park,2
8.6 Medical products and machinery manufacturer / distributor,2
8.2 Short-term complex rest and medical services,2
12. Tourist board / Government / NTO,2
13.3 Data Analytics and personalization,2
6.3 Services & facilities,2
8.1 Hospitals & clinics,2
11.1 MICE agency,2
13.1 Online booking system & trip planner software,2
16. Real estate agencies,2
9. Hotel equipment & service suppliers,2
12.1 TIC: Travel information centre,2
14.8 Other type of specialized tourism,2
3.1 Network franchise travel agency,2
5.2 Bus services,2
2.5 Cruise tour operators,2
10.4 Theme & water park,2
11. MICE and event management,2
2.2 Outbound tour operator,2
4. Online travel agency,2
13.5 Smart home technology,2
2.4 Mass market tour operators,2
6.2 Campervans & caravans,1
14.1 Youth travel,1
8.4 Hair transplantation,1
1.7 Other type of accommodation facility,1
7.3 Other type of motorhomes & glamping,1
14. Niche tourism,1
6.6 Other type of motorhomes,1
8.3 Global healthcare providers,1
"16.2 Real estate, property and homes abroad",1
11.2 Event organizer,1
1. Accomodation providers,1
9.2 Manufacturer / distributor of consumables,1
9.5 Equipment for restaurants and catering,1
8. Health & medical tourism,1
"16.1 Real estate, property and homes in Russia",1
9.4 Security system manufacturer / distributor,1
14.2 Study abroad & volunteering,1
5.1 Airlines,1
17. Insurance companies & banking,1
13. IT solutions for travel industry,1
5.3 Railway company,1
15.2 Online media,1
5.4 Transfer services,1
12.3 Regional tourism office,1
10.6 Nature park,1
6.1 Motorhomes,1
11.3 Other services in the sphere of business tourism,1
9.3 Cleaning,1
6.5 Car rental / Carsharing,1
